uuid,text_url,text_version,pdf_path
GA2005H673,http://www.legis.ga.gov/Legislation/20052006/51046.pdf,8,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H673/GA2005H673_8.pdf
GA2005H743,http://www.legis.ga.gov/Legislation/20052006/47692.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H743/GA2005H743_2.pdf
GA2005H761,http://www.legis.ga.gov/Legislation/20052006/48090.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H761/GA2005H761_2.pdf
GA2005H788,http://www.legis.ga.gov/Legislation/20052006/51797.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H788/GA2005H788_5.pdf
GA2005H830,http://www.legis.ga.gov/Legislation/20052006/53064.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H830/GA2005H830_5.pdf
GA2005H855,http://www.legis.ga.gov/Legislation/20052006/53095.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H855/GA2005H855_5.pdf
GA2005H858,http://www.legis.ga.gov/Legislation/20052006/52803.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H858/GA2005H858_5.pdf
GA2005H859,http://www.legis.ga.gov/Legislation/20052006/53007.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H859/GA2005H859_5.pdf
GA2005H882,http://www.legis.ga.gov/Legislation/20052006/50223.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005H882/GA2005H882_2.pdf
GA2005S278,http://www.legis.ga.gov/Legislation/20052006/63143.pdf,7,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005S278/GA2005S278_7.pdf
GA2005S352,http://www.legis.ga.gov/Legislation/20052006/49648.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005S352/GA2005S352_4.pdf
GA2005S354,http://www.legis.ga.gov/Legislation/20052006/51828.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2005S354/GA2005S354_5.pdf
GA2006H1015,http://www.legis.ga.gov/Legislation/20052006/53911.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006H1015/GA2006H1015_2.pdf
GA2006H1045,http://www.legis.ga.gov/Legislation/20052006/54113.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006H1045/GA2006H1045_2.pdf
GA2006H1165,http://www.legis.ga.gov/Legislation/20052006/54965.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006H1165/GA2006H1165_2.pdf
GA2006H1286,http://www.legis.ga.gov/Legislation/20052006/55863.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006H1286/GA2006H1286_2.pdf
GA2006H1607,http://www.legis.ga.gov/Legislation/20052006/60263.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006H1607/GA2006H1607_2.pdf
GA2006S409,http://www.legis.ga.gov/Legislation/20052006/55760.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006S409/GA2006S409_4.pdf
GA2006S517,http://www.legis.ga.gov/Legislation/20052006/55560.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006S517/GA2006S517_2.pdf
GA2006S590,http://www.legis.ga.gov/Legislation/20052006/57707.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2006S590/GA2006S590_2.pdf
GA2007H1098,http://www.legis.ga.gov/Legislation/20072008/86192.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1098/GA2007H1098_4.pdf
GA2007H1352,http://www.legis.ga.gov/Legislation/20072008/86210.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1352/GA2007H1352_4.pdf
GA2007H1361,http://www.legis.ga.gov/Legislation/20072008/82103.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1361/GA2007H1361_4.pdf
GA2007H1427,http://www.legis.ga.gov/Legislation/20072008/85947.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1427/GA2007H1427_4.pdf
GA2007H1437,http://www.legis.ga.gov/Legislation/20072008/86261.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1437/GA2007H1437_4.pdf
GA2007H1450,http://www.legis.ga.gov/Legislation/20072008/86053.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1450/GA2007H1450_4.pdf
GA2007H1471,http://www.legis.ga.gov/Legislation/20072008/86272.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H1471/GA2007H1471_4.pdf
GA2007H205,http://www.legis.ga.gov/Legislation/20072008/66738.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H205/GA2007H205_2.pdf
GA2007H234,http://www.legis.ga.gov/Legislation/20072008/72837.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H234/GA2007H234_4.pdf
GA2007H388,http://www.legis.ga.gov/Legislation/20072008/72795.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H388/GA2007H388_4.pdf
GA2007H43,http://www.legis.ga.gov/Legislation/20072008/65675.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H43/GA2007H43_2.pdf
GA2007H487,http://www.legis.ga.gov/Legislation/20072008/74979.pdf,11,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H487/GA2007H487_11.pdf
GA2007H555,http://www.legis.ga.gov/Legislation/20072008/72886.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H555/GA2007H555_4.pdf
GA2007H62,http://www.legis.ga.gov/Legislation/20072008/65714.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H62/GA2007H62_2.pdf
GA2007H660,http://www.legis.ga.gov/Legislation/20072008/74448.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H660/GA2007H660_4.pdf
GA2007H666,http://www.legis.ga.gov/Legislation/20072008/72904.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H666/GA2007H666_4.pdf
GA2007H705,http://www.legis.ga.gov/Legislation/20072008/72924.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H705/GA2007H705_4.pdf
GA2007H744,http://www.legis.ga.gov/Legislation/20072008/71636.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H744/GA2007H744_2.pdf
GA2007H757,http://www.legis.ga.gov/Legislation/20072008/73886.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H757/GA2007H757_4.pdf
GA2007H773,http://www.legis.ga.gov/Legislation/20072008/75769.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H773/GA2007H773_4.pdf
GA2007H827,http://www.legis.ga.gov/Legislation/20072008/75723.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H827/GA2007H827_4.pdf
GA2007H858,http://www.legis.ga.gov/Legislation/20072008/74119.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H858/GA2007H858_2.pdf
GA2007H932,http://www.legis.ga.gov/Legislation/20072008/79943.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H932/GA2007H932_4.pdf
GA2007H993,http://www.legis.ga.gov/Legislation/20072008/86002.pdf,4,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2007H993/GA2007H993_4.pdf
