session_name,title,full_url
2005 Regular Session,House Bill 2053 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2053.en.pdf
2005 Regular Session,House Bill 2053 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2053.intro.pdf
2005 Regular Session,House Bill 2054 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2054.en.pdf
2005 Regular Session,House Bill 2054 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2054.intro.pdf
2005 Regular Session,House Bill 2055 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2055.en.pdf
2005 Regular Session,House Bill 2055 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2055.intro.pdf
2005 Regular Session,House Bill 2056 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2056.a.pdf
2005 Regular Session,House Bill 2056 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2056.en.pdf
2005 Regular Session,House Bill 2056 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2056.1ha.pdf
2005 Regular Session,House Bill 2056 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2056.intro.pdf
2005 Regular Session,House Bill 2057 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2057.a.pdf
2005 Regular Session,House Bill 2057 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2057.1ha.pdf
2005 Regular Session,House Bill 2057 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2057.intro.pdf
2005 Regular Session,House Bill 2058 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2058.a.pdf
2005 Regular Session,House Bill 2058 - B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2058.b.pdf
2005 Regular Session,House Bill 2058 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2058.en.pdf
2005 Regular Session,House Bill 2058 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2058.1ha.pdf
2005 Regular Session,House Bill 2058 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2058.intro.pdf
2005 Regular Session,House Bill 2058 - Senate Amendments to A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2058.a1sa.pdf
2005 Regular Session,House Bill 2059 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2059.a.pdf
2005 Regular Session,House Bill 2059 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2059.en.pdf
2005 Regular Session,House Bill 2059 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2059.1ha.pdf
2005 Regular Session,House Bill 2059 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2059.intro.pdf
2005 Regular Session,House Bill 2060 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2060.a.pdf
2005 Regular Session,House Bill 2060 - B-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2060.b.pdf
2005 Regular Session,House Bill 2060 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2060.en.pdf
2005 Regular Session,House Bill 2060 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2060.1ha.pdf
2005 Regular Session,House Bill 2060 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2060.intro.pdf
2005 Regular Session,House Bill 2060 - Senate Amendments to A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2060.a1sa.pdf
