session_id,bill_id,url
04,SB812,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=176
04,SB813,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=177
04,SB814,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=178
04,SB815,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=179
04,SB816,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=180
04,SB817,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=181
04,SB818,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=182
04,SB819,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=183
04,SB820,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=184
04,SB821,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=185
04,SB822,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=186
04,SB823,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=187
04,SB824,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=188
04,SB825,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=189
04,SB826,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=190
04,SB827,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=191
04,SB828,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=192
04,SB829,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=193
04,SB830,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=194
04,SB831,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=195
04,SB832,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=196
04,SB833,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=197
04,SB834,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=198
04,SB835,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=199
04,SB836,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=200
04,SB837,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=201
04,SB838,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=202
04,SB839,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=203
04,SB840,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=204
04,SB841,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=205
04,SB842,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=206
04,SB843,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=207
04,SB844,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=208
04,SB845,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=209
04,SB846,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=210
04,SB847,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=211
04,SB848,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=212
04,SB849,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=213
04,SB850,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=214
04,SB851,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=215
04,SB852,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=216
04,SB853,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=217
04,SB854,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=218
04,SB855,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=219
