UUID,session,bill_number
AZ2011H2481,2011 - Fiftieth Legislature - First Regular Session,HB2481
AZ2011H2483,2011 - Fiftieth Legislature - First Regular Session,HB2483
AZ2011H2484,2011 - Fiftieth Legislature - First Regular Session,HB2484
AZ2011H2512,2011 - Fiftieth Legislature - First Regular Session,HB2512
AZ2011H2544,2011 - Fiftieth Legislature - First Regular Session,HB2544
AZ2011H2649,2011 - Fiftieth Legislature - First Regular Session,HB2649
AZ2011H2663,2011 - Fiftieth Legislature - First Regular Session,HB2663
AZ2011H2676,2011 - Fiftieth Legislature - First Regular Session,HB2676
AZ2011H2701,2011 - Fiftieth Legislature - First Regular Session,HB2701
AZ2011H2716,2011 - Fiftieth Legislature - First Regular Session,HB2716
AZ2011HCR2014,2011 - Fiftieth Legislature - First Regular Session,HCR2014
AZ2011HCR2023,2011 - Fiftieth Legislature - First Regular Session,HCR2023
AZ2011HCR2042,2011 - Fiftieth Legislature - First Regular Session,HCR2042
AZ2011HCR2044,2011 - Fiftieth Legislature - First Regular Session,HCR2044
AZ2011HCR2048,2011 - Fiftieth Legislature - First Regular Session,HCR2048
AZ2011HCR2049,2011 - Fiftieth Legislature - First Regular Session,HCR2049
AZ2011S1076,2011 - Fiftieth Legislature - First Regular Session,SB1076
AZ2011S1330,2011 - Fiftieth Legislature - First Regular Session,SB1330
AZ2011S1331,2011 - Fiftieth Legislature - First Regular Session,SB1331
AZ2011S1412,2011 - Fiftieth Legislature - First Regular Session,SB1412
AZ2011S1471,2011 - Fiftieth Legislature - First Regular Session,SB1471
AZ2011S1473,2011 - Fiftieth Legislature - First Regular Session,SB1473
AZ2011S1477,2011 - Fiftieth Legislature - First Regular Session,SB1477
AZ2011S1486,2011 - Fiftieth Legislature - First Regular Session,SB1486
AZ2011S1487,2011 - Fiftieth Legislature - First Regular Session,SB1487
AZ2011S1489,2011 - Fiftieth Legislature - First Regular Session,SB1489
AZ2011S1512,2011 - Fiftieth Legislature - First Regular Session,SB1512
AZ2011S1513,2011 - Fiftieth Legislature - First Regular Session,SB1513
AZ2011S1514,2011 - Fiftieth Legislature - First Regular Session,SB1514
AZ2011S1526,2011 - Fiftieth Legislature - First Regular Session,SB1526
AZ2012H2027,2012 - Fiftieth Legislature - Second Regular Session,HB2027
AZ2012H2043,2012 - Fiftieth Legislature - Second Regular Session,HB2043
AZ2012H2196,2012 - Fiftieth Legislature - Second Regular Session,HB2196
AZ2012H2229,2012 - Fiftieth Legislature - Second Regular Session,HB2229
AZ2012H2267,2012 - Fiftieth Legislature - Second Regular Session,HB2267
AZ2012H2320,2012 - Fiftieth Legislature - Second Regular Session,HB2320
AZ2012H2377,2012 - Fiftieth Legislature - Second Regular Session,HB2377
AZ2012H2379,2012 - Fiftieth Legislature - Second Regular Session,HB2379
AZ2012H2422,2012 - Fiftieth Legislature - Second Regular Session,HB2422
AZ2012H2480,2012 - Fiftieth Legislature - Second Regular Session,HB2480
AZ2012H2485,2012 - Fiftieth Legislature - Second Regular Session,HB2485
AZ2012H2490,2012 - Fiftieth Legislature - Second Regular Session,HB2490
AZ2012H2552,2012 - Fiftieth Legislature - Second Regular Session,HB2552
AZ2012H2579,2012 - Fiftieth Legislature - Second Regular Session,HB2579
AZ2012H2650,2012 - Fiftieth Legislature - Second Regular Session,HB2650
AZ2012H2718,2012 - Fiftieth Legislature - Second Regular Session,HB2718
AZ2012H2722,2012 - Fiftieth Legislature - Second Regular Session,HB2722
AZ2012H2763,2012 - Fiftieth Legislature - Second Regular Session,HB2763
AZ2012H2818,2012 - Fiftieth Legislature - Second Regular Session,HB2818
AZ2012H2826,2012 - Fiftieth Legislature - Second Regular Session,HB2826
AZ2012H2847,2012 - Fiftieth Legislature - Second Regular Session,HB2847
AZ2012HCR2026,2012 - Fiftieth Legislature - Second Regular Session,HCR2026
AZ2012HCR2050,2012 - Fiftieth Legislature - Second Regular Session,HCR2050
AZ2012S1031,2012 - Fiftieth Legislature - Second Regular Session,SB1031
AZ2012S1048,2012 - Fiftieth Legislature - Second Regular Session,SB1048
AZ2012S1094,2012 - Fiftieth Legislature - Second Regular Session,SB1094
AZ2012S1095,2012 - Fiftieth Legislature - Second Regular Session,SB1095
AZ2012S1097,2012 - Fiftieth Legislature - Second Regular Session,SB1097
AZ2012S1137,2012 - Fiftieth Legislature - Second Regular Session,SB1137
AZ2012S1158,2012 - Fiftieth Legislature - Second Regular Session,SB1158
AZ2012S1230,2012 - Fiftieth Legislature - Second Regular Session,SB1230
AZ2012S1363,2012 - Fiftieth Legislature - Second Regular Session,SB1363
AZ2012S1425,2012 - Fiftieth Legislature - Second Regular Session,SB1425
AZ2012S1428,2012 - Fiftieth Legislature - Second Regular Session,SB1428
AZ2012S1429,2012 - Fiftieth Legislature - Second Regular Session,SB1429
AZ2012S1481,2012 - Fiftieth Legislature - Second Regular Session,SB1481
AZ2012S1512,2012 - Fiftieth Legislature - Second Regular Session,SB1512
AZ2013H2017,2013 - Fifty-first Legislature - First Regular Session,HB2017
AZ2013H2035,2013 - Fifty-first Legislature - First Regular Session,HB2035
AZ2013H2146,2013 - Fifty-first Legislature - First Regular Session,HB2146
AZ2013H2157,2013 - Fifty-first Legislature - First Regular Session,HB2157
AZ2013H2160,2013 - Fifty-first Legislature - First Regular Session,HB2160
AZ2013H2286,2013 - Fifty-first Legislature - First Regular Session,HB2286
AZ2013H2287,2013 - Fifty-first Legislature - First Regular Session,HB2287
AZ2013H2305,2013 - Fifty-first Legislature - First Regular Session,HB2305
AZ2013H2313,2013 - Fifty-first Legislature - First Regular Session,HB2313
AZ2013H2350,2013 - Fifty-first Legislature - First Regular Session,HB2350
AZ2013H2353,2013 - Fifty-first Legislature - First Regular Session,HB2353
AZ2013H2367,2013 - Fifty-first Legislature - First Regular Session,HB2367
AZ2013H2368,2013 - Fifty-first Legislature - First Regular Session,HB2368
AZ2013H2369,2013 - Fifty-first Legislature - First Regular Session,HB2369
AZ2013H2410,2013 - Fifty-first Legislature - First Regular Session,HB2410
AZ2013H2412,2013 - Fifty-first Legislature - First Regular Session,HB2412
AZ2013H2475,2013 - Fifty-first Legislature - First Regular Session,HB2475
AZ2013H2518,2013 - Fifty-first Legislature - First Regular Session,HB2518
AZ2013H2568,2013 - Fifty-first Legislature - First Regular Session,HB2568
AZ2013HCR2008,2013 - Fifty-first Legislature - First Regular Session,HCR2008
AZ2013HCR2010,2013 - Fifty-first Legislature - First Regular Session,HCR2010
AZ2013HCR2013,2013 - Fifty-first Legislature - First Regular Session,HCR2013
AZ2013S1003,2013 - Fifty-first Legislature - First Regular Session,SB1003
AZ2013S1033,2013 - Fifty-first Legislature - First Regular Session,SB1033
AZ2013S1042,2013 - Fifty-first Legislature - First Regular Session,SB1042
AZ2013S1186,2013 - Fifty-first Legislature - First Regular Session,SB1186
AZ2013S1196,2013 - Fifty-first Legislature - First Regular Session,SB1196
AZ2013S1248,2013 - Fifty-first Legislature - First Regular Session,SB1248
AZ2013S1256,2013 - Fifty-first Legislature - First Regular Session,SB1256
AZ2013S1261,2013 - Fifty-first Legislature - First Regular Session,SB1261
AZ2013S1274,2013 - Fifty-first Legislature - First Regular Session,SB1274
AZ2013S1275,2013 - Fifty-first Legislature - First Regular Session,SB1275
AZ2013S1276,2013 - Fifty-first Legislature - First Regular Session,SB1276
AZ2013S1326,2013 - Fifty-first Legislature - First Regular Session,SB1326
AZ2013S1335,2013 - Fifty-first Legislature - First Regular Session,SB1335
AZ2013S1387,2013 - Fifty-first Legislature - First Regular Session,SB1387
AZ2013S1388,2013 - Fifty-first Legislature - First Regular Session,SB1388
AZ2013S1416,2013 - Fifty-first Legislature - First Regular Session,SB1416
AZ2013S1418,2013 - Fifty-first Legislature - First Regular Session,SB1418
AZ2013S1458,2013 - Fifty-first Legislature - First Regular Session,SB1458
AZ2013S1481,2013 - Fifty-first Legislature - First Regular Session,SB1481
AZ2014H2064,2014 - Fifty-first Legislature - Second Regular Session,HB2064
AZ2014H2065,2014 - Fifty-first Legislature - Second Regular Session,HB2065
AZ2014H2066,2014 - Fifty-first Legislature - Second Regular Session,HB2066
AZ2014H2067,2014 - Fifty-first Legislature - Second Regular Session,HB2067
